"sampleName","yrharv","gene","Barcode","logid","logmicrobid","logLoc","rep_code","plot","symbol","logtrt","yrdeploy","pullDate","bag"
"D4b",2012,"16S","Hotel344",299,344,"b","z",4,"1-E","D",2009,"6/20/2012",NA
"D4t",2012,"16S","Hotel343",299,342,"t","z",4,"1-E","D",2009,"6/20/2012",NA
"D5b",2012,"16S","Alpha8",395,455,"b","z",5,"4-A","D",2009,"6/15/2012",NA
"D5t",2012,"16S","Alpha7",395,453,"t","z",5,"4-A","D",2009,"6/15/2012",NA
"D6b",2012,"16S","Echo200",491,564,"b","z",6,"2-C","D",2009,"6/15/2012",NA
"D6t",2012,"16S","Echo199",491,562,"t","z",6,"2-C","D",2009,"6/15/2012",NA
"D7b",2012,"16S","Bravo56",587,675,"b","z",7,"4-B","D",2009,"6/12/2012",NA
"D7t",2012,"16S","Bravo55",587,673,"t","z",7,"4-B","D",2009,"6/12/2012",NA
"D8b",2012,"16S","Foxtrot248",683,783,"b","z",8,"1-H","D",2009,"6/12/2012",NA
"D8t",2012,"16S","Foxtrot247",683,781,"t","z",8,"1-H","D",2009,"6/12/2012",NA
"E1b",2012,"16S","Charlie106",14,18,"b","z",1,"1-F","E",2009,"6/6/2012",NA
"E1t",2012,"16S","Charlie105",14,16,"t","z",1,"1-F","E",2009,"6/6/2012",NA
"E2b",2012,"16S","Golf298",110,127,"b","z",2,"2-G","E",2009,"6/7/2012",NA
"E2t",2012,"16S","Golf297",110,125,"t","z",2,"2-G","E",2009,"6/7/2012",NA
"E3b",2012,"16S","Delta154",206,238,"b","z",3,"3-D","E",2009,"6/19/2012",NA
"E3t",2012,"16S","Delta153",206,236,"t","z",3,"3-D","E",2009,"6/19/2012",NA
"E4b",2012,"16S","Hotel346",302,348,"b","z",4,"3-G","E",2009,"6/20/2012",NA
"E4t",2012,"16S","Hotel345",302,346,"t","z",4,"3-G","E",2009,"6/20/2012",NA
"E5b",2012,"16S","Alpha10",398,459,"b","z",5,"2-H","E",2009,"6/18/2012",NA
"E5t",2012,"16S","Alpha9",398,457,"t","z",5,"2-H","E",2009,"6/18/2012",NA
"E6b",2012,"16S","Echo202",494,568,"b","z",6,"1-E","E",2009,"6/14/2012",NA
"E6t",2012,"16S","Echo201",494,566,"t","z",6,"1-E","E",2009,"6/14/2012",NA
"E7b",2012,"16S","Bravo58",590,679,"b","z",7,"3-H","E",2009,"6/12/2012",NA
"E7t",2012,"16S","Bravo57",590,677,"t","z",7,"3-H","E",2009,"6/12/2012",NA
"E8b",2012,"16S","Foxtrot250",686,787,"b","z",8,"3-J","E",2009,"6/12/2012",NA
"E8t",2012,"16S","Foxtrot249",686,785,"t","z",8,"3-J","E",2009,"6/12/2012",NA
"F1b",2012,"16S","Charlie108",17,22,"b","z",1,"3-J","F",2009,"6/5/2012",NA
"F1t",2012,"16S","Charlie107",17,20,"t","z",1,"3-J","F",2009,"6/5/2012",NA
"F2b",2012,"16S","Golf300",113,131,"b","z",2,"2-F","F",2009,"6/8/2012",NA
"F2t",2012,"16S","Golf299",113,129,"t","z",2,"2-F","F",2009,"6/8/2012",NA
"F3b",2012,"16S","Delta156",209,242,"b","z",3,"1-D","F",2009,"6/19/2012",NA
"F3t",2012,"16S","Delta155",209,240,"t","z",3,"1-D","F",2009,"6/19/2012",NA
"F4b",2012,"16S","Hotel348",305,352,"b","z",4,"1-G","F",2009,"6/20/2012",NA
"F4t",2012,"16S","Hotel347",305,350,"t","z",4,"1-G","F",2009,"6/20/2012",NA
"F5b",2012,"16S","Alpha12",401,463,"b","z",5,"1-C","F",2009,"6/18/2012",NA
"F5t",2012,"16S","Alpha11",401,461,"t","z",5,"1-C","F",2009,"6/18/2012",NA
"F6b",2012,"16S","Echo204",497,572,"b","z",6,"1-L","F",2009,"6/14/2012",NA
"F6t",2012,"16S","Echo203",497,570,"t","z",6,"1-L","F",2009,"6/14/2012",NA
"F7b",2012,"16S","Bravo60",593,682,"b","z",7,"1-B","F",2009,"6/13/2012",NA
"F7t",2012,"16S","Bravo59",593,681,"t","z",7,"1-B","F",2009,"6/13/2012",NA
"F8b",2012,"16S","Foxtrot252",689,791,"b","z",8,"2-Y","F",2009,"6/11/2012",NA
"F8t",2012,"16S","Foxtrot251",689,789,"t","z",8,"2-Y","F",2009,"6/11/2012",NA
"G1b",2012,"16S","Charlie110",19,27,"b","z",1,"2-O","G",2011,"6/6/2012",NA
"G1t",2012,"16S","Charlie109",19,24,"t","z",1,"2-O","G",2011,"6/6/2012",NA
"G2b",2012,"16S","Golf302",115,136,"b","z",2,"3-B","G",2011,"6/7/2012",NA
"G2t",2012,"16S","Golf301",115,133,"t","z",2,"3-B","G",2011,"6/7/2012",NA
"G3b",2012,"16S","Delta158",211,247,"b","z",3,"3-C","G",2011,"6/20/2012",NA
"G3t",2012,"16S","Delta157",211,244,"t","z",3,"3-C","G",2011,"6/20/2012",NA
"G4b",2012,"16S","Hotel350",307,357,"b","z",4,"5-B","G",2011,"6/21/2012",NA
"G4t",2012,"16S","Hotel349",307,354,"t","z",4,"5-B","G",2011,"6/21/2012",NA
