"sampleName","yrharv","gene","Barcode","logid","logmicrobid","logLoc","rep_code","plot","symbol","logtrt","yrdeploy","pullDate","bag"
"R1t",2012,"16S","Charlie131",77,79,"t","z",1,"1-1-D","R",2009,"6/5/2012",NA
"R2b",2012,"16S","Golf324",173,191,"b","z",2,"2-1-D","R",2009,"6/8/2012",NA
"R2t",2012,"16S","Golf323",173,189,"t","z",2,"2-1-D","R",2009,"6/8/2012",NA
"R3b",2012,"16S","Delta180",269,300,"b","z",3,"2-1-B","R",2009,"6/19/2012",NA
"R3t",2012,"16S","Delta179",269,298,"t","z",3,"2-1-B","R",2009,"6/19/2012",NA
"R4b",2012,"16S","Hotel372",365,412,"b","z",4,"2-1-F","R",2009,"6/20/2012",NA
"R4t",2012,"16S","Hotel371",365,410,"t","z",4,"2-1-F","R",2009,"6/20/2012",NA
"R5b",2012,"16S","Alpha36",461,522,"b","z",5,"2-2-C","R",2009,"6/15/2012",NA
"R5t",2012,"16S","Alpha35",461,520,"t","z",5,"2-2-C","R",2009,"6/15/2012",NA
"R6b",2012,"16S","Echo228",557,632,"b","z",6,"2-2-B","R",2009,"6/14/2012",NA
"R6t",2012,"16S","Echo227",557,630,"t","z",6,"2-2-B","R",2009,"6/14/2012",NA
"R7b",2012,"16S","Bravo84",653,741,"b","z",7,"2-1-A","R",2009,"6/13/2012",NA
"R7t",2012,"16S","Bravo83",653,739,"t","z",7,"2-1-A","R",2009,"6/13/2012",NA
"R8b",2012,"16S","Foxtrot276",749,851,"b","z",8,"3-2-C","R",2009,"6/11/2012",NA
"R8t",2012,"16S","Foxtrot275",749,849,"t","z",8,"3-2-C","R",2009,"6/11/2012",NA
"S1b",2012,"16S","Charlie134",80,84,"b","z",1,"1-L","S",2009,"6/6/2012",NA
"S1t",2012,"16S","Charlie133",80,82,"t","z",1,"1-L","S",2009,"6/6/2012",NA
"S2b",2012,"16S","Golf326",176,195,"b","z",2,"1-Y","S",2009,"6/7/2012",NA
"S2t",2012,"16S","Golf325",176,193,"t","z",2,"1-Y","S",2009,"6/7/2012",NA
"S3b",2012,"16S","Delta182",272,304,"b","z",3,"2-G","S",2009,"6/19/2012",NA
"S3t",2012,"16S","Delta181",272,302,"t","z",3,"2-G","S",2009,"6/19/2012",NA
"S4b",2012,"16S","Hotel374",368,415,"b","z",4,"2-D","S",2009,"6/20/2012",NA
"S4t",2012,"16S","Hotel373",368,414,"t","z",4,"2-D","S",2009,"6/20/2012",NA
"S5b",2012,"16S","Alpha38",464,525,"b","z",5,"1-A","S",2009,"6/18/2012",NA
"S5t",2012,"16S","Alpha37",464,524,"t","z",5,"1-A","S",2009,"6/18/2012",NA
"S6b",2012,"16S","Echo230",560,636,"b","z",6,"1-J","S",2009,"6/15/2012",NA
"S6t",2012,"16S","Echo229",560,634,"t","z",6,"1-J","S",2009,"6/15/2012",NA
"S7b",2012,"16S","Bravo86",656,745,"b","z",7,"2-F","S",2009,"6/13/2012",NA
"S7t",2012,"16S","Bravo85",656,743,"t","z",7,"2-F","S",2009,"6/13/2012",NA
"S8b",2012,"16S","Foxtrot278",752,854,"b","z",8,"1-M","S",2009,"6/11/2012",NA
"S8t",2012,"16S","Foxtrot277",752,853,"t","z",8,"1-M","S",2009,"6/11/2012",NA
"T1b",2012,"16S","Charlie136",82,89,"b","z",1,"6-H","T",2011,"6/6/2012",NA
"T1t",2012,"16S","Charlie135",82,86,"t","z",1,"6-H","T",2011,"6/6/2012",NA
"T2b",2012,"16S","Golf328",178,200,"b","z",2,"2-B","T",2011,"6/8/2012",NA
"T2t",2012,"16S","Golf327",178,197,"t","z",2,"2-B","T",2011,"6/8/2012",NA
"T3b",2012,"16S","Delta184",274,309,"b","z",3,"2-I","T",2011,"6/19/2012",NA
"T3t",2012,"16S","Delta183",274,306,"t","z",3,"2-I","T",2011,"6/19/2012",NA
"T4b",2012,"16S","Hotel376",370,420,"b","z",4,"2-D","T",2011,"6/21/2012",NA
"T4t",2012,"16S","Hotel375",370,417,"t","z",4,"2-D","T",2011,"6/21/2012",NA
"T5b",2012,"16S","Alpha40",466,530,"b","z",5,"6-I","T",2011,"6/15/2012",NA
"T5t",2012,"16S","Alpha39",466,527,"t","z",5,"6-I","T",2011,"6/15/2012",NA
"T6b",2012,"16S","Echo232",562,641,"b","z",6,"1-C","T",2011,"6/14/2012",NA
"T6t",2012,"16S","Echo231",562,638,"t","z",6,"1-C","T",2011,"6/14/2012",NA
"T7b",2012,"16S","Bravo88",658,750,"b","z",7,"1-B","T",2011,"6/13/2012",NA
"T7t",2012,"16S","Bravo87",658,747,"t","z",7,"1-B","T",2011,"6/13/2012",NA
"T8b",2012,"16S","Foxtrot280",754,859,"b","z",8,"1-E","T",2011,"6/11/2012",NA
"T8t",2012,"16S","Foxtrot279",754,856,"t","z",8,"1-E","T",2011,"6/11/2012",NA
"U1b",2012,"16S","Charlie138",86,94,"b","z",1,"5-I","U",2009,"6/5/2012",NA
"U1t",2012,"16S","Charlie137",86,92,"t","z",1,"5-I","U",2009,"6/5/2012",NA
"U2b",2012,"16S","Golf330",182,205,"b","z",2,"2-B","U",2009,"6/8/2012",NA
"U2t",2012,"16S","Golf329",182,203,"t","z",2,"2-B","U",2009,"6/8/2012",NA
"U3b",2012,"16S","Delta186",278,314,"b","z",3,"1-E","U",2009,"6/19/2012",NA
"U3t",2012,"16S","Delta185",278,312,"t","z",3,"1-E","U",2009,"6/19/2012",NA
"U4b",2012,"16S","Hotel378",374,425,"b","z",4,"1-F","U",2009,"6/21/2012",NA
"U4t",2012,"16S","Hotel377",374,423,"t","z",4,"1-F","U",2009,"6/21/2012",NA
"U5b",2012,"16S","Alpha42",470,535,"b","z",5,"4-G","U",2009,"6/18/2012",NA
"U5t",2012,"16S","Alpha41",470,533,"t","z",5,"4-G","U",2009,"6/18/2012",NA
"U6b",2012,"16S","Echo234",566,646,"b","z",6,"5-D","U",2009,"6/14/2012",NA
"U6t",2012,"16S","Echo233",566,644,"t","z",6,"5-D","U",2009,"6/14/2012",NA
"U7b",2012,"16S","Bravo90",662,755,"b","z",7,"3-B","U",2009,"6/13/2012",NA
"U7t",2012,"16S","Bravo89",662,753,"t","z",7,"3-B","U",2009,"6/13/2012",NA
"U8b",2012,"16S","Foxtrot282",758,863,"b","z",8,"4-F","U",2009,"6/12/2012",NA
"U8t",2012,"16S","Foxtrot281",758,862,"t","z",8,"4-F","U",2009,"6/12/2012",NA
"V1b",2012,"16S","Charlie140",88,99,"b","z",1,"1-C","V",2011,"6/6/2012",NA
"V1t",2012,"16S","Charlie139",88,96,"t","z",1,"1-C","V",2011,"6/6/2012",NA
"V2b",2012,"16S","Golf332",184,210,"b","z",2,"2-E","V",2011,"6/8/2012",NA
"V2t",2012,"16S","Golf331",184,207,"t","z",2,"2-E","V",2011,"6/8/2012",NA
"V3b",2012,"16S","Delta188",280,319,"b","z",3,"5-K","V",2011,"6/20/2012",NA
"V3t",2012,"16S","Delta187",280,316,"t","z",3,"5-K","V",2011,"6/20/2012",NA
"V4b",2012,"16S","Hotel380",376,430,"b","z",4,"2-D","V",2011,"6/21/2012",NA
"V4t",2012,"16S","Hotel379",376,427,"t","z",4,"2-D","V",2011,"6/21/2012",NA
"V5b",2012,"16S","Alpha44",472,540,"b","z",5,"2-A","V",2011,"6/15/2012",NA
"V5t",2012,"16S","Alpha43",472,537,"t","z",5,"2-A","V",2011,"6/15/2012",NA
"V6b",2012,"16S","Echo236",568,651,"b","z",6,"1-F","V",2011,"6/15/2012",NA
"V6t",2012,"16S","Echo235",568,648,"t","z",6,"1-F","V",2011,"6/15/2012",NA
"V7b",2012,"16S","Bravo92",664,760,"b","z",7,"3-V","V",2011,"6/13/2012",NA
"V7t",2012,"16S","Bravo91",664,757,"t","z",7,"3-V","V",2011,"6/13/2012",NA
"V8b",2012,"16S","Foxtrot284",760,868,"b","z",8,"5-G","V",2011,"6/11/2012",NA
"V8t",2012,"16S","Foxtrot283",760,865,"t","z",8,"5-G","V",2011,"6/11/2012",NA
"W1b",2012,"16S","Charlie142",92,104,"b","z",1,"3-D","W",2009,"6/6/2012",NA
"W1t",2012,"16S","Charlie141",92,102,"t","z",1,"3-D","W",2009,"6/6/2012",NA
"W2b",2012,"16S","Golf334",188,215,"b","z",2,"3-J","W",2009,"6/8/2012",NA
"W2t",2012,"16S","Golf333",188,213,"t","z",2,"3-J","W",2009,"6/8/2012",NA
"W3b",2012,"16S","Delta190",284,324,"b","z",3,"2-C","W",2009,"6/19/2012",NA
"W3t",2012,"16S","Delta189",284,322,"t","z",3,"2-C","W",2009,"6/19/2012",NA
"W4b",2012,"16S","Hotel382",380,435,"b","z",4,"2-E","W",2009,"6/21/2012",NA
"W4t",2012,"16S","Hotel381",380,433,"t","z",4,"2-E","W",2009,"6/21/2012",NA
"W5b",2012,"16S","Alpha46",476,545,"b","z",5,"2-K","W",2009,"6/18/2012",NA
"W5t",2012,"16S","Alpha45",476,543,"t","z",5,"2-K","W",2009,"6/18/2012",NA
"W6b",2012,"16S","Echo238",572,656,"b","z",6,"2-I","W",2009,"6/14/2012",NA
"W6t",2012,"16S","Echo237",572,654,"t","z",6,"2-I","W",2009,"6/14/2012",NA
"W7b",2012,"16S","Bravo94",668,765,"b","z",7,"3-M","W",2009,"6/13/2012",NA
"W7t",2012,"16S","Bravo93",668,763,"t","z",7,"3-M","W",2009,"6/13/2012",NA
"W8b",2012,"16S","Foxtrot286",764,873,"b","z",8,"2-J","W",2009,"6/12/2012",NA
"W8t",2012,"16S","Foxtrot285",764,871,"t","z",8,"2-J","W",2009,"6/12/2012",NA
"X1b",2012,"16S","Charlie144",95,107,"b","z",1,"1-I","X",2009,"6/5/2012",NA
"X1t",2012,"16S","Charlie143",95,106,"t","z",1,"1-I","X",2009,"6/5/2012",NA
"X2b",2012,"16S","Golf336",191,218,"b","z",2,"3-C","X",2009,"6/8/2012",NA
"X2t",2012,"16S","Golf335",191,217,"t","z",2,"3-C","X",2009,"6/8/2012",NA
"X3b",2012,"16S","Delta192",287,328,"b","z",3,"2-2-J","X",2009,"6/19/2012",NA
"X3t",2012,"16S","Delta191",287,326,"t","z",3,"2-2-J","X",2009,"6/19/2012",NA
"X4b",2012,"16S","Hotel384",383,439,"b","z",4,"1-H","X",2009,"6/21/2012",NA
"X4t",2012,"16S","Hotel383",383,437,"t","z",4,"1-H","X",2009,"6/21/2012",NA
"X5b",2012,"16S","Alpha48",479,548,"b","z",5,"3-B","X",2009,"6/18/2012",NA
"X5t",2012,"16S","Alpha47",479,547,"t","z",5,"3-B","X",2009,"6/18/2012",NA
"X6b",2012,"16S","Echo240",575,660,"b","z",6,"1-E","X",2009,"6/15/2012",NA
"X6t",2012,"16S","Echo239",575,658,"t","z",6,"1-E","X",2009,"6/15/2012",NA
"X7b",2012,"16S","Bravo96",671,768,"b","z",7,"2-2-M","X",2009,"6/13/2012",NA
"X7t",2012,"16S","Bravo95",671,767,"t","z",7,"2-2-M","X",2009,"6/13/2012",NA
"X8b",2012,"16S","Foxtrot288",767,876,"b","z",8,"3-D","X",2009,"6/12/2012",NA
"X8t",2012,"16S","Foxtrot287",767,875,"t","z",8,"3-D","X",2009,"6/12/2012",NA
