"logmicrobid","logid","logLoc","rep_code","sampleName"
357,307,"b","z","G4b"
356,309,"t",NA,"G4t"
359,309,"b",NA,"G4b"
466,404,"t",NA,"G5t-bag"
468,404,"b",NA,"G5b-bag"
465,403,"t","z","G5t"
467,403,"b","z","G5b"
469,405,"mush",NA,"G5_"
575,500,"t",NA,"G6t-bag"
578,500,"b",NA,"G6b-bag"
574,499,"t","z","G6t"
577,499,"b","z","G6b"
576,501,"t",NA,"G6t"
579,501,"b",NA,"G6b"
685,596,"t",NA,"G7t-bag"
688,596,"b",NA,"G7b-bag"
684,595,"t","z","G7t"
687,595,"b","z","G7b"
686,597,"t",NA,"G7t"
689,597,"b",NA,"G7b"
794,692,"t",NA,"G8t-bag"
797,692,"b",NA,"G8b-bag"
793,691,"t","z","G8t"
796,691,"b","z","G8b"
795,693,"t",NA,"G8t"
798,693,"b",NA,"G8b"
30,23,"t","z","H1t"
32,23,"b","z","H1b"
31,24,"t",NA,"H1t"
33,24,"b",NA,"H1b"
139,119,"t","z","H2t"
141,119,"b","z","H2b"
140,120,"t",NA,"H2t"
142,120,"b",NA,"H2b"
250,215,"t","z","H3t"
252,215,"b","z","H3b"
251,216,"t",NA,"H3t"
253,216,"b",NA,"H3b"
360,311,"t","z","H4t"
362,311,"b","z","H4b"
361,312,"t",NA,"H4t"
363,312,"b",NA,"H4b"
470,407,"t","z","H5t"
472,407,"b","z","H5b"
471,408,"t",NA,"H5t"
473,408,"b",NA,"H5b"
580,503,"t","z","H6t"
582,503,"b","z","H6b"
581,504,"t",NA,"H6t"
583,504,"b",NA,"H6b"
690,599,"t","z","H7t"
692,599,"b","z","H7b"
691,600,"t",NA,"H7t"
693,600,"b",NA,"H7b"
799,695,"t","z","H8t"
801,695,"b","z","H8b"
800,696,"t",NA,"H8t"
802,696,"b",NA,"H8b"
34,26,"t","z","I1t"
35,26,"b","z","I1b"
36,27,"mush",NA,"I1_"
143,122,"t","z","I2t"
145,122,"b","z","I2b"
144,123,"t",NA,"I2t"
146,123,"b",NA,"I2b"
254,218,"t","z","I3t"
255,218,"b","z","I3b"
256,219,"mush",NA,"I3_"
364,314,"t","z","I4t"
366,314,"b","z","I4b"
