"plot","symbol","logtrt","yrdeploy","yrharv","pullDate","bag","logid"
2,"3-F","B","2009",2010,"unknown",NA,100
2,"4-K","B","2009",2012,"6/8/2012",NA,101
2,"1-D","B","2009",2014,"6/11/2014",NA,102
2,"1-A","C","2009",2010,"unknown",NA,103
2,"3-B","C","2009",2012,"6/7/2012",NA,104
2,"3-K","C","2009",2014,"6/11/2014",NA,105
2,"4-G","D","2009",2010,"unknown",NA,106
2,"2-F","D","2009",2012,"6/8/2012",NA,107
2,"4-C","D","2009",2014,"6/11/2014",NA,108
2,"1-D","E","2009",2010,"unknown",NA,109
2,"2-G","E","2009",2012,"6/7/2012",NA,110
2,"3-F","E","2009",2014,"6/11/2014",NA,111
2,"1-Y","F","2009",2010,"unknown",NA,112
2,"2-F","F","2009",2012,"6/8/2012",NA,113
2,"1-E","F","2009",2014,"6/11/2014",NA,114
2,"3-B","G","2011",2012,"6/7/2012",NA,115
2,"5-D","G","2011",2014,"6/13/2014","b",116
2,"2-F","G","2011",2014,"6/13/2014",NA,117
2,"1-J","H","2009",2010,"unknown",NA,118
2,"2-D","H","2009",2012,"6/8/2012",NA,119
2,"3-C","H","2009",2014,"6/11/2014",NA,120
2,"1-J","I","2009",2010,"unknown",NA,121
2,"1-C","I","2009",2012,"6/7/2012",NA,122
2,"2-F","I","2009",2014,"6/11/2014",NA,123
2,"1-I","J","2011",2012,"6/8/2012",NA,124
2,"3-J","J","2011",2014,"6/13/2014","b",125
2,"1-A","J","2011",2014,"6/13/2014",NA,126
2,"2-G","K","2009",2010,"unknown",NA,127
2,"4-H","K","2009",2012,"6/8/2012",NA,128
2,"2-K","K","2009",2014,"6/11/2014",NA,129
2,"3-D","L","2011",2012,"6/7/2012",NA,130
2,"3-A","L","2011",2014,"6/13/2014","b",131
2,"1-O","L","2011",2014,"6/13/2014",NA,132
2,"2-C","M","2009",2010,"unknown",NA,133
2,"2-F","M","2009",2012,"6/7/2012",NA,134
2,"4-K","M","2009",2014,"6/11/2014",NA,135
2,"7-A","N","2011",2012,"6/7/2012",NA,136
2,"5-B","N","2011",2014,"6/13/2014","b",137
2,"6-D","N","2011",2014,"6/13/2014",NA,138
2,"6-B","O","2011",2012,"6/7/2012",NA,139
2,"7-H","O","2011",2014,"6/13/2014","b",140
2,"1-D","O","2011",2014,"6/13/2014",NA,141
2,"2-E","P","2011",2012,"6/7/2012",NA,142
2,"1-L","P","2011",2014,"6/13/2014","b",143
2,"3-H","P","2011",2014,"6/13/2014",NA,144
2,"2-G","plank_1","2009",2010,"unknown",NA,145
2,"3-B","plank_1","2009",2012,"6/7/2012",NA,146
2,"none","plank_1","2009",2014,"unknown",NA,147
2,"3-I","plank_2","2009",2010,"unknown",NA,148
2,"2-I","plank_2","2009",2012,"6/7/2012",NA,149
2,"none","plank_2","2009",2014,"unknown",NA,150
2,"1-B","plank_3","2009",2010,"unknown",NA,151
2,"3-D","plank_3","2009",2012,"6/7/2012",NA,152
2,"none","plank_3","2009",2014,"unknown",NA,153
2,"4-E","plank_4","2009",2010,"unknown",NA,154
2,"3-A","plank_4","2009",2012,"6/7/2012",NA,155
2,"none","plank_4","2009",2014,"unknown",NA,156
2,"2-A","plank_5","2009",2010,"unknown",NA,157
2,"3-C","plank_5","2009",2012,"6/7/2012",NA,158
2,"none","plank_5","2009",2014,"unknown",NA,159
2,"5-E","plank_6","2009",2010,"unknown",NA,160
2,"3-F","plank_6","2009",2012,"6/7/2012",NA,161
2,"none","plank_6","2009",2014,"unknown",NA,162
2,"2-E","plank_7","2009",2010,"unknown",NA,163
2,"4-E","plank_7","2009",2012,"6/7/2012",NA,164
2,"none","plank_7","2009",2014,"unknown",NA,165
2,"1-E","plank_8","2009",2010,"unknown",NA,166
2,"2-A","plank_8","2009",2012,"6/7/2012",NA,167
2,"none","plank_8","2009",2014,"unknown",NA,168
2,"2-2-C","Q","2009",2010,"unknown",NA,169
2,"2-1-B","Q","2009",2012,"6/8/2012",NA,170
2,"3-1-A","Q","2009",2014,"6/11/2014",NA,171
2,"1-1-F","R","2009",2010,"unknown",NA,172
2,"2-1-D","R","2009",2012,"6/8/2012",NA,173
2,"3-1-G","R","2009",2014,"6/11/2014",NA,174
2,"2-A","S","2009",2010,"unknown",NA,175
2,"1-Y","S","2009",2012,"6/7/2012",NA,176
2,"1-C","S","2009",2014,"6/11/2014",NA,177
2,"2-B","T","2011",2012,"6/8/2012",NA,178
2,"1-G","T","2011",2014,"6/13/2014","b",179
2,"2-L","T","2011",2014,"6/13/2014",NA,180
2,"2-E","U","2009",2010,"unknown",NA,181
2,"2-B","U","2009",2012,"6/8/2012",NA,182
2,"5-H","U","2009",2014,"6/11/2014",NA,183
2,"2-E","V","2011",2012,"6/8/2012",NA,184
2,"3-Y","V","2011",2014,"6/13/2014","b",185
2,"6-B","V","2011",2014,"6/13/2014",NA,186
2,"1-E","W","2009",2010,"unknown",NA,187
2,"3-J","W","2009",2012,"6/8/2012",NA,188
2,"3-N","W","2009",2014,"6/11/2014",NA,189
2,"2-2-X","X","2009",2010,"unknown",NA,190
2,"3-C","X","2009",2012,"6/8/2012",NA,191
2,"1-F","X","2009",2014,"6/11/2014",NA,192
3,"4-H","A","2009",2010,"29-May-10",NA,193
3,"4-E","A","2009",2012,"6/19/2012",NA,194
3,"1-1-N","A","2009",2014,"6/6/2014",NA,195
3,"3-B","B","2009",2010,"29-May-10",NA,196
3,"3-X","B","2009",2012,"6/19/2012",NA,197
3,"1-K","B","2009",2014,"6/6/2014",NA,198
3,"2-B","C","2009",2010,"29-May-10",NA,199
3,"3-E","C","2009",2012,"6/19/2012",NA,200
3,"1-J","C","2009",2014,"6/6/2014",NA,201
3,"2-G","D","2009",2010,"29-May-10",NA,202
3,"1-A","D","2009",2012,"6/19/2012",NA,203
3,"4-H","D","2009",2014,"6/6/2014",NA,204
3,"1-G","E","2009",2010,"29-May-10",NA,205
3,"3-D","E","2009",2012,"6/19/2012",NA,206
3,"3-A","E","2009",2014,"6/6/2014",NA,207
3,"2-H","F","2009",2010,"29-May-10",NA,208
3,"1-D","F","2009",2012,"6/19/2012",NA,209
3,"3-C","F","2009",2014,"6/6/2014",NA,210
3,"3-C","G","2011",2012,"6/20/2012",NA,211
3,"5-A","G","2011",2014,"6/5/2014","b",212
3,"2-M","G","2011",2014,"6/5/2014",NA,213
3,"2-A","H","2009",2010,"29-May-10",NA,214
3,"4-D","H","2009",2012,"6/19/2012",NA,215
3,"3-E","H","2009",2014,"6/6/2014",NA,216
3,"1-E","I","2009",2010,"29-May-10",NA,217
3,"3-J","I","2009",2012,"6/19/2012",NA,218
3,"3-G","I","2009",2014,"6/6/2014",NA,219
3,"2-H","J","2011",2012,"6/20/2012",NA,220
3,"3-G","J","2011",2014,"6/5/2014","b",221
3,"3-L","J","2011",2014,"6/5/2014",NA,222
3,"2-P","K","2009",2010,"29-May-10",NA,223
3,"3-F","K","2009",2012,"6/19/2012",NA,224
3,"4-F","K","2009",2014,"6/6/2014",NA,225
3,"2-C","L","2011",2012,"6/20/2012",NA,226
3,"2-J","L","2011",2014,"6/5/2014","b",227
3,"3-E","L","2011",2014,"6/5/2014",NA,228
3,"2-K","M","2009",2010,"29-May-10",NA,229
3,"1-K","M","2009",2012,"6/20/2012",NA,230
3,"2-H","M","2009",2014,"6/6/2014",NA,231
3,"6-C","N","2011",2012,"6/20/2012",NA,232
3,"2-E","N","2011",2014,"6/5/2014","b",233
3,"6-A","N","2011",2014,"6/5/2014",NA,234
3,"4-A","O","2011",2012,"6/20/2012",NA,235
3,"1-C","O","2011",2014,"6/5/2014","b",236
3,"7-B","O","2011",2014,"6/5/2014",NA,237
3,"3-E","P","2011",2012,"6/20/2012",NA,238
3,"2-H","P","2011",2014,"6/5/2014","b",239
3,"2-C","P","2011",2014,"6/5/2014",NA,240
3,"1-C","plank_1","2009",2010,"29-May-10",NA,241
3,"3-A","plank_1","2009",2012,"6/19/2012",NA,242
3,"none","plank_1","2009",2014,"unknown",NA,243
3,"1-F","plank_2","2009",2010,"29-May-10",NA,244
3,"2-C","plank_2","2009",2012,"6/19/2012",NA,245
3,"none","plank_2","2009",2014,"unknown",NA,246
3,"3-C","plank_3","2009",2010,"29-May-10",NA,247
3,"2-E","plank_3","2009",2012,"6/19/2012",NA,248
3,"none","plank_3","2009",2014,"unknown",NA,249
3,"3-E","plank_4","2009",2010,"29-May-10",NA,250
3,"2-E","plank_4","2009",2012,"6/19/2012",NA,251
3,"none","plank_4","2009",2014,"unknown",NA,252
3,"2-D","plank_5","2009",2010,"29-May-10",NA,253
3,"1-E","plank_5","2009",2012,"6/19/2012",NA,254
3,"none","plank_5","2009",2014,"unknown",NA,255
3,"4-E","plank_6","2009",2010,"29-May-10",NA,256
3,"3-B","plank_6","2009",2012,"6/19/2012",NA,257
3,"none","plank_6","2009",2014,"unknown",NA,258
3,"4-C","plank_7","2009",2010,"29-May-10",NA,259
