Barcode	Sample	16S	ITS	LSU
Delta174	O3bz	17954	5147	7395
Delta175	P3tz	16354	7073	6433
Delta176	P3bz	25306	12118	9456
Delta177	Q3tz	24	14	13
Delta178	Q3bz	17	13	17
Delta179	R3tz	67	37	32
Delta180	R3bz	36	31	20
Delta181	S3tz	24	41	12
Delta182	S3bz	21	23	20
Delta183	T3tz	17	27	20
Delta184	T3bz	10	21	23
Delta185	U3tz	25	27	19
Delta186	U3bz	36	12	13
Delta187	V3tz	26	14	11
Delta188	V3bz	18	19	20
Delta189	W3tz	22	12	10
Delta190	W3bz	17	13	29
Delta191	X3tz	14	11	13
Delta192	X3bz	7	7	7
Echo193	A6tz	28151	8082	89
Echo194	A6bz	21845	12657	11219
Echo195	B6tz	49	26	39
Echo196	B6bz	23	6225	855
Echo197	C6tz	18178	7132	13762
Echo198	C6bz	26022	5756	10402
Echo199	D6tz	18372	9341	8263
Echo200	D6bz	14501	9331	9523
Echo201	E6tz	17990	16771	11638
Echo202	E6bz	18306	6644	12349
Echo203	F6tz	15802	10421	3864
Echo204	F6bz	17130	8841	12280
Echo205	G6tz	15028	9129	8088
Echo206	G6bz	16178	8466	11194
Echo207	H6tz	16267	9779	9486
Echo208	H6bz	13771	8302	5125
Echo209	I6tz	12790	23528	14182
Echo210	I6bz	13974	8253	14168
Echo211	J6tz	18669	5958	9657
Echo212	J6bz	14710	10147	9530
Echo213	K6tz	17292	6702	14951
Echo214	K6bz	14503	8514	18076
Echo215	L6tz	19	18	15
Echo216	L6bz	26	50	40
Echo217	M6tz	2777	282	1810
Echo218	M6bz	10824	821	3874
Echo219	N6tz	4480	1877	2349
Echo220	N6bz	9347	976	2731
Echo221	O6tz	11677	4022	3555
Echo222	O6bz	10561	3873	3098
Echo223	P6tz	10967	3138	4536
Echo224	P6bz	5429	1184	3137
Echo225	Q6tz	2287	121	1679
Echo226	Q6bz	5241	1279	2758
Echo227	R6tz	15311	5464	1817
Echo228	R6bz	19460	3305	1870
Echo229	S6tz	16190	5181	2047
Echo230	S6bz	13910	8311	1464
Echo231	T6tz	5127	6582	1745
Echo232	T6bz	21	6	13
Echo233	U6tz	10	13	13
Echo234	U6bz	10602	2083	2968
Echo235	V6tz	8843	4117	5387
Echo236	V6bz	10896	4399	3582
Echo237	W6tz	13238	5064	3545
Echo238	W6bz	2615	3904	3263
Echo239	X6tz	33767	4817	5032
Echo240	X6bz	3	41	1644
Foxtrot241	A8tz	17700	10495	19298
Foxtrot242	A8bz	19834	15767	11576
Foxtrot243	B8tz	20842	20945	12304
Foxtrot244	B8bz	96	2503	10257
Foxtrot245	C8tz	53006	11327	13871
Foxtrot246	C8bz	67	11545	1551
Foxtrot247	D8tz	19735	9127	19851
Foxtrot248	D8bz	24530	18028	8839
Foxtrot249	E8tz	28549	40087	17060
Foxtrot250	E8bz	30950	10685	12049
Foxtrot251	F8tz	35755	8596	14780
Foxtrot252	F8bz	29345	10206	10903
Foxtrot253	G8tz	23547	12435	12971
Foxtrot254	G8bz	24738	8362	11759
Foxtrot255	H8tz	16669	13259	21400
Foxtrot256	H8bz	20233	11351	8799
Foxtrot257	I8tz	17722	17681	12900
Foxtrot258	I8bz	31233	22457	13606
Foxtrot259	J8tz	17352	17291	12282
Foxtrot260	J8bz	12929	4457	24410
Foxtrot261	K8tz	27045	14698	17435
Foxtrot262	K8bz	22785	15453	21269
Foxtrot263	L8tz	64	32	645
Foxtrot264	L8bz	704	16598	10579
Foxtrot265	M8tz	28605	5009	17257
Foxtrot266	M8bz	20885	4686	10959
Foxtrot267	N8tz	30296	11275	11404
Foxtrot268	N8bz	23911	2631	8649
Foxtrot269	O8tz	25730	12281	15096
Foxtrot270	O8bz	14371	9981	12337
Foxtrot271	P8tz	24419	11369	10578
Foxtrot272	P8bz	22923	9880	12316
Foxtrot273	Q8tz	25458	486	6933
Foxtrot274	Q8bz	43357	8115	12080
Foxtrot275	R8tz	42588	16031	26321
Foxtrot276	R8bz	23054	10590	26596
Foxtrot277	S8tz	40628	23753	12012
Foxtrot278	S8bz	31837	6630	21262
Foxtrot279	T8tz	26259	12431	14420
Foxtrot280	T8bz	30405	2927	3094
Foxtrot281	U8tz	14287	69	17986
Foxtrot282	U8bz	15875	27657	11298
Foxtrot283	V8tz	18909	49506	17040
Foxtrot284	V8bz	17594	9460	9595
Foxtrot285	W8tz	21759	7669	11336
Foxtrot286	W8bz	18099	67265	14182
Foxtrot287	X8tz	19809	14010	6425
Foxtrot288	X8bz	169	10711	7542
Golf289	A2tz	20535	26411	10368
Golf290	A2bz	25606	10496	8728
Golf291	B2tz	20120	8535	6911
Golf292	B2bz	18288	5998	6293
Golf293	C2tz	16585	13792	9515
Golf294	C2bz	18662	2866	8767
Golf295	D2tz	13197	5821	6146
Golf296	D2bz	10670	8492	1590
Golf297	E2tz	22638	9991	10372
Golf298	E2bz	19772	18382	7177
Golf299	F2tz	25525	14925	9229
Golf300	F2bz	21627	14755	8672
Golf301	G2tz	48421	12042	8784
Golf302	G2bz	32982	14961	9177
Golf303	H2tz	8047	1994	13074
Golf304	H2bz	59	81	24746
Golf305	I2tz	21906	14905	9430
Golf306	I2bz	24437	17487	11367
Golf307	J2tz	16743	302	5623
Golf308	J2bz	14462	212	1835
Golf309	K2tz	33	25770	11835
Golf310	K2bz	54	22301	13893
Golf311	L2tz	24	23	25
Golf312	L2bz	7	32	39
Golf313	M2tz	19050	2210	10393
Golf314	M2bz	18151	594	2505
Golf315	N2tz	19561	1806	8033
Golf316	N2bz	13095	5706	12494
Golf317	O2tz	10625	526	2199
Golf318	O2bz	14308	2719	9581
Golf319	P2tz	12800	95	517
Golf320	P2bz	17898	8501	10711
Golf321	Q2tz	22486	1842	9554
Golf322	Q2bz	18873	440	13856
Golf323	R2tz	22576	45576	9011
Golf324	R2bz	21682	21028	11026
Golf325	S2tz	21866	2657	23339
Golf326	S2bz	20246	1172	9776
Golf327	T2tz	19961	4127	15120
Golf328	T2bz	24333	8119	9926
Golf329	U2tz	22617	14137	15416
Golf330	U2bz	18110	12592	9510
Golf331	V2tz	19333	17730	19140
Golf332	V2bz	12879	37690	9826
Golf333	W2tz	19117	416	4101
Golf334	W2bz	22156	8856	27828
Golf335	X2tz	5340	10	9443
Golf336	X2bz	10	13	31
Hotel337	A4tz	18248	10764	558
Hotel338	A4bz	22001	14621	8295
Hotel339	B4tz	25241	7038	7184
Hotel340	B4bz	28642	5094	6168
Hotel341	C4tz	46	31	28
Hotel342	C4bz	35	23	30
Hotel343	D4tz	13792	6576	9646
Hotel344	D4bz	18434	14809	8707
Hotel345	E4tz	14701	15441	10830
Hotel346	E4bz	14594	10499	5986
Hotel347	F4tz	19155	13040	8564
Hotel348	F4bz	20356	9870	9140
Hotel349	G4tz	22060	29679	12142
Hotel350	G4bz	15990	15967	9685
Hotel351	H4tz	13365	8395	11831
Hotel352	H4bz	14323	464	11573
Hotel353	I4tz	21560	11847	15957
Hotel354	I4bz	17680	7554	11347
Hotel355	J4tz	19333	5065	9358
Hotel356	J4bz	13186	812	17277
Hotel357	K4tz	15517	11822	10256
Hotel358	K4bz	26599	12795	14216
Hotel359	L4tz	19	15	13
Hotel360	L4bz	9	16	18
Hotel361	M4tz	25263	4135	8439
Hotel362	M4bz	24175	3137	8312
Hotel363	N4tz	23215	11842	6912
Hotel364	N4bz	408	13734	6273
Hotel365	O4tz	16382	20418	11816
Hotel366	O4bz	16622	10020	10730
Hotel367	P4tz	348371	8161	8749
Hotel368	P4bz	20793	11478	6685
Hotel369	Q4tz	15757	2550	20000
Hotel370	Q4bz	1286	19	220
Hotel371	R4tz	16595	19352	11221
Hotel372	R4bz	19289	8501	9754
Hotel373	S4tz	60	3294	29017
Hotel374	S4bz	12935	13852	13590
Hotel375	T4tz	65	43	9893
Hotel376	T4bz	77	698	26156
Hotel377	U4tz	14645	5009	15548
Hotel378	U4bz	17947	8682	13400
Hotel379	V4tz	9625	10733	7732
Hotel380	V4bz	13321	10201	11045
Hotel381	W4tz	16478	12176	8700
Hotel382	W4bz	26372	9944	10011
Hotel383	X4tz	11240	12984	17398
Hotel384	X4bz	12320	2206	10272
India385	W337	0	23818	9474
India386	M476	0	489	1152
India387	M57	0	15647	6322
India388	M53	0	14033	431
India389	M480	0	13836	48
India390	M460	0	4154	8
India391	M45	0	32849	1148
India392	M508	0	30824	878
India393	M13	0	102	518
India394	M484	0	178	7990
India395	M41	0	19054	7845
India396	M496	0	3863	14798
India397	M29	0	9059	8890
India398	M488	0	2618	6578
India399	M472	0	38	5724
India400	M33	0	22505	5854
India401	M37	0	8375	16194
India402	M65	0	19775	20299
India403	M492	0	5514	8895
India404	M504	0	9393	9321
India405	M1	0	13122	8336
India406	M9	0	7558	11002
India407	M516	0	5548	10437
India408	M25	0	7613	5769
India409	M452	0	5891	2867
India410	M5	0	3196	12694
India411	M456	0	23862	5185
India412	M69	0	8488	3830
India413	M468	0	7253	4084
India414	Neg_1	0	11243	785
India415	Pos_Aho80	0	6783	60
India416	M17	0	5291	89
India417	M512	0	201	1267
India418	M49	0	12252	14002
India419	M21	0	11678	12061
India420	M61	0	14657	7309
India421	M466	0	10273	1118
India422	M716	0	28	26
India423	M269	0	29	515
India424	M676	0	14161	20557
India425	M660	0	17771	16612
India426	M265	0	6417	9456
India427	M201	0	10466	11761
India428	M712	0	11338	6983
India429	M668	0	11949	5006
India430	M245	0	16411	230
India431	M692	0	11302	1357
India432	M228	0	8992	4766
Juliett433	M260	0	277	23660
Juliett434	M249	0	223	10358
Juliett435	M672	0	21140	11730
Juliett436	M213	0	12047	8769
Juliett437	M205	0	13647	14204
Juliett438	M664	0	12119	10712
Juliett439	M704	0	13288	14550
Juliett440	M253	0	11959	12491
Juliett441	M696	0	18008	27807
Juliett442	M241	0	9939	12547
Juliett443	M708	0	11974	7110
Juliett444	M680	0	24996	9038
Juliett445	M656	0	41629	10896
Juliett446	M229	0	14466	12039
Juliett447	M688	0	12128	29
Juliett448	M209	0	11642	27087
Juliett449	M233	0	28	10378
Juliett450	M648	0	29	5956
Juliett451	M700	0	30	14227
Juliett452	M261	0	13	20
Juliett453	M684	0	15	9590
Juliett454	M217	0	41	9773
Juliett455	M221	0	15	15345
Juliett456	M652	0	13	21169
Juliett457	M237	0	10396	14597
Juliett458	M177	0	1112	4126
Juliett459	M193	0	10528	8804
Juliett460	M73	0	8841	23793
Juliett461	M321	0	6929	8730
Juliett462	M345	0	8851	9957
Juliett463	M640	0	16910	104922
Juliett464	M121	0	22187	8782
Juliett465	M568	0	40	21209
Juliett466	M532	0	16	7847
Juliett467	M576	0	18139	8640
Juliett468	M560	0	19561	22640
Juliett469	M105	0	26104	10021
Juliett470	M185	0	12014	6295
